sexo,edad,weights,educ,perc,type
hombre,78,91664,lic_law,0.165,just_lic
hombre,78,91664,lic_non_law,0.835,just_lic
hombre,79,83331,lic_law,0.114,just_lic
hombre,79,83331,lic_non_law,0.886,just_lic
hombre,80,86820,lic_law,0.108,just_lic
hombre,80,86820,lic_non_law,0.892,just_lic
hombre,81,64688,lic_law,0.14,just_lic
hombre,81,64688,lic_non_law,0.86,just_lic
hombre,82,46095,lic_law,0.065,just_lic
hombre,82,46095,lic_non_law,0.935,just_lic
hombre,83,40838,lic_law,0.071,just_lic
hombre,83,40838,lic_non_law,0.929,just_lic
hombre,84,33023,lic_law,0.081,just_lic
hombre,84,33023,lic_non_law,0.919,just_lic
hombre,85,25366,lic_law,0.151,just_lic
hombre,85,25366,lic_non_law,0.849,just_lic
hombre,86,17145,lic_law,0.144,just_lic
hombre,86,17145,lic_non_law,0.856,just_lic
hombre,87,14573,lic_law,0.329,just_lic
hombre,87,14573,lic_non_law,0.671,just_lic
hombre,88,12751,lic_law,0.078,just_lic
hombre,88,12751,lic_non_law,0.922,just_lic
hombre,89,8327,lic_law,0.032,just_lic
hombre,89,8327,lic_non_law,0.968,just_lic
hombre,90,3768,lic_law,0.087,just_lic
hombre,90,3768,lic_non_law,0.913,just_lic
hombre,91,4641,lic_law,0.007,just_lic
hombre,91,4641,lic_non_law,0.993,just_lic
hombre,92,6913,lic_law,0.028,just_lic
hombre,92,6913,lic_non_law,0.972,just_lic
hombre,93,3277,lic_law,0,just_lic
hombre,93,3277,lic_non_law,1,just_lic
hombre,94,2605,lic_law,0.047,just_lic
hombre,94,2605,lic_non_law,0.953,just_lic
hombre,95,3460,lic_law,0.118,just_lic
hombre,95,3460,lic_non_law,0.882,just_lic
hombre,96,1872,lic_law,0.059,just_lic
hombre,96,1872,lic_non_law,0.941,just_lic
hombre,97,1769,lic_law,0.508,just_lic
hombre,97,1769,lic_non_law,0.492,just_lic
mujer,21,1858076,lic_law,0.077,just_lic
mujer,21,1858076,lic_non_law,0.923,just_lic
mujer,22,1965132,lic_law,0.073,just_lic
mujer,22,1965132,lic_non_law,0.927,just_lic
mujer,23,1920851,lic_law,0.072,just_lic
mujer,23,1920851,lic_non_law,0.928,just_lic
mujer,24,1854468,lic_law,0.07,just_lic
mujer,24,1854468,lic_non_law,0.93,just_lic
mujer,25,1702779,lic_law,0.076,just_lic
mujer,25,1702779,lic_non_law,0.924,just_lic
mujer,26,1747455,lic_law,0.065,just_lic
mujer,26,1747455,lic_non_law,0.935,just_lic
mujer,27,1607571,lic_law,0.081,just_lic
mujer,27,1607571,lic_non_law,0.919,just_lic
mujer,28,1515995,lic_law,0.083,just_lic
mujer,28,1515995,lic_non_law,0.917,just_lic
mujer,29,1381151,lic_law,0.071,just_lic
mujer,29,1381151,lic_non_law,0.929,just_lic
mujer,30,1414656,lic_law,0.073,just_lic
mujer,30,1414656,lic_non_law,0.927,just_lic
mujer,31,1312414,lic_law,0.069,just_lic
mujer,31,1312414,lic_non_law,0.931,just_lic
mujer,32,1242277,lic_law,0.083,just_lic
mujer,32,1242277,lic_non_law,0.917,just_lic
mujer,33,1279279,lic_law,0.089,just_lic
mujer,33,1279279,lic_non_law,0.911,just_lic
mujer,34,1116911,lic_law,0.081,just_lic
mujer,34,1116911,lic_non_law,0.919,just_lic
mujer,35,1189187,lic_law,0.091,just_lic
mujer,35,1189187,lic_non_law,0.909,just_lic
mujer,36,1170825,lic_law,0.081,just_lic
mujer,36,1170825,lic_non_law,0.919,just_lic
mujer,37,1035619,lic_law,0.091,just_lic
mujer,37,1035619,lic_non_law,0.909,just_lic
mujer,38,1008484,lic_law,0.105,just_lic
mujer,38,1008484,lic_non_law,0.895,just_lic
mujer,39,946867,lic_law,0.101,just_lic
mujer,39,946867,lic_non_law,0.899,just_lic
mujer,40,1005946,lic_law,0.088,just_lic
mujer,40,1005946,lic_non_law,0.912,just_lic
mujer,41,911871,lic_law,0.095,just_lic
mujer,41,911871,lic_non_law,0.905,just_lic
mujer,42,871204,lic_law,0.09,just_lic
mujer,42,871204,lic_non_law,0.91,just_lic
mujer,43,879735,lic_law,0.109,just_lic
mujer,43,879735,lic_non_law,0.891,just_lic
mujer,44,769738,lic_law,0.094,just_lic
mujer,44,769738,lic_non_law,0.906,just_lic
mujer,45,780336,lic_law,0.089,just_lic
mujer,45,780336,lic_non_law,0.911,just_lic
mujer,46,804471,lic_law,0.11,just_lic
mujer,46,804471,lic_non_law,0.89,just_lic
mujer,47,713736,lic_law,0.08,just_lic
