group,ingocup,weights,income_perc,median
Mujeres abogadas,1200,434,0.1,11900
Mujeres abogadas,1400,63,0,11900
Mujeres abogadas,1500,1451,0.4,11900
Mujeres abogadas,1720,121,0,11900
Mujeres abogadas,1960,942,0.3,11900
Mujeres abogadas,2000,850,0.2,11900
Mujeres abogadas,2150,1248,0.3,11900
Mujeres abogadas,2250,198,0.1,11900
Mujeres abogadas,2400,382,0.1,11900
Mujeres abogadas,2500,477,0.1,11900
Mujeres abogadas,2580,365,0.1,11900
Mujeres abogadas,2600,103,0,11900
Mujeres abogadas,3000,5928,1.7,11900
Mujeres abogadas,3600,333,0.1,11900
Mujeres abogadas,3750,56,0,11900
Mujeres abogadas,3800,155,0,11900
Mujeres abogadas,3870,54,0,11900
Mujeres abogadas,4000,6154,1.7,11900
Mujeres abogadas,4200,185,0.1,11900
Mujeres abogadas,4300,1693,0.5,11900
Mujeres abogadas,4307,602,0.2,11900
Mujeres abogadas,4400,219,0.1,11900
Mujeres abogadas,4490,50,0,11900
Mujeres abogadas,4500,68,0,11900
Mujeres abogadas,4700,116,0,11900
Mujeres abogadas,5000,10628,3,11900
Mujeres abogadas,5160,258,0.1,11900
Mujeres abogadas,5200,401,0.1,11900
Mujeres abogadas,5300,66,0,11900
Mujeres abogadas,5400,66,0,11900
Mujeres abogadas,5590,861,0.2,11900
Mujeres abogadas,5600,294,0.1,11900
Mujeres abogadas,5800,167,0,11900
Mujeres abogadas,6000,13312,3.7,11900
Mujeres abogadas,6020,134,0,11900
Mujeres abogadas,6400,494,0.1,11900
Mujeres abogadas,6450,1841,0.5,11900
Mujeres abogadas,6500,150,0,11900
Mujeres abogadas,6600,399,0.1,11900
Mujeres abogadas,6667,142,0,11900
Mujeres abogadas,6700,276,0.1,11900
Mujeres abogadas,6880,278,0.1,11900
Mujeres abogadas,7000,15196,4.3,11900
Mujeres abogadas,7310,414,0.1,11900
Mujeres abogadas,7600,2029,0.6,11900
Mujeres abogadas,7740,1456,0.4,11900
Mujeres abogadas,8000,19401,5.4,11900
Mujeres abogadas,8200,296,0.1,11900
Mujeres abogadas,8400,1898,0.5,11900
Mujeres abogadas,8449,204,0.1,11900
Mujeres abogadas,8560,92,0,11900
Mujeres abogadas,8600,7189,2,11900
Mujeres abogadas,8800,145,0,11900
Mujeres abogadas,9000,5466,1.5,11900
Mujeres abogadas,9400,144,0,11900
Mujeres abogadas,9460,426,0.1,11900
Mujeres abogadas,9500,34,0,11900
Mujeres abogadas,9600,1340,0.4,11900
Mujeres abogadas,9800,82,0,11900
Mujeres abogadas,10000,34168,9.6,11900
