cuidados_thrs,cuidados_thrs_hombres,fac,ingocup,min_year_enoe,max_year_enoe
31,9,191,5000,2018,2023
1,196,156,22000,2018,2023
8,8.03921568627451,98,6000,2018,2023
11,1.5,134,6020,2018,2023
32,50.50877192982456,155,7000,2018,2023
5,5,160,16000,2018,2023
22,14.378048780487806,390,15000,2018,2023
24,8.875,162,25000,2018,2023
30,7.888888888888889,188,2150,2018,2023
45,14.383783783783784,56,14000,2018,2023
30,13.29496402877698,47,9000,2018,2023
30,NA,40,12000,2018,2023
20,NA,62,22000,2018,2023
55,0,26,14000,2018,2023
49,14,39,1200,2018,2023
38,40,61,10000,2018,2023
22,1,42,16000,2018,2023
66,38.11340206185567,53,15400,2018,2023
70,16.25,39,20000,2018,2023
82,8.647368421052631,43,2500,2018,2023
67,38.113207547169814,74,7000,2018,2023
47,8.987341772151899,35,10800,2018,2023
7,9.5,39,24000,2018,2023
71,20.169847328244273,271,8000,2018,2023
32,13.736893203883495,271,9460,2018,2023
46,0,273,8000,2018,2023
17,0.5910165484633569,125,20000,2018,2023
7,7,125,10000,2018,2023
72,26,109,12000,2018,2023
54,2,116,8600,2018,2023
8,10.39344262295082,138,22000,2018,2023
6,4.54601226993865,252,7740,2018,2023
3,NA,309,20000,2018,2023
6,NA,273,18000,2018,2023
22,2,151,10000,2018,2023
392,297,385,100000,2018,2023
116,10,139,43000,2018,2023
106,120,133,25000,2018,2023
3,14,161,65000,2018,2023
59,43,316,34400,2018,2023
3,2,277,8600,2018,2023
12,0,298,25000,2018,2023
16,29,53,19000,2018,2023
9,5,51,20000,2018,2023
45,20.398496240601503,53,12000,2018,2023
86,13.298245614035087,74,5000,2018,2023
59,18.772727272727273,59,22000,2018,2023
13,NA,74,58000,2018,2023
22,6.802816901408451,48,17000,2018,2023
6,4.473118279569892,49,10750,2018,2023
10,2.3333333333333335,42,38000,2018,2023
15,15.078260869565218,56,14000,2018,2023
5,NA,45,32000,2018,2023
36,13.23913043478261,58,28000,2018,2023
0,10,43,20000,2018,2023
52,17,48,15000,2018,2023
32,23,41,92000,2018,2023
12,9.322429906542055,63,1400,2018,2023
47,28.349514563106798,33,2150,2018,2023
24,14.711711711711711,34,8000,2018,2023
42,15.62135922330097,39,8000,2018,2023
24,16.985294117647058,39,16000,2018,2023
30,27.57894736842105,40,5000,2018,2023
69,12.121827411167512,49,8000,2018,2023
21,7.666666666666667,32,14000,2018,2023
46,16,39,12800,2018,2023
6,9,49,5590,2018,2023
9,18,42,13800,2018,2023
23,21.52777777777778,38,12000,2018,2023
64,15,51,10000,2018,2023
23,1,22,4000,2018,2023
9,7,25,10000,2018,2023
5,NA,18,10800,2018,2023
0,1,43,12000,2018,2023
14,2,66,16400,2018,2023
15,NA,49,6000,2018,2023
14,7,25,6000,2018,2023
2,4.5,25,26000,2018,2023
0,5,25,10000,2018,2023
4,3,22,12000,2018,2023
5,NA,106,12000,2018,2023
26,20,220,24000,2018,2023
14,18.933333333333334,144,16000,2018,2023
12,18.933333333333334,144,16000,2018,2023
20,18.650205761316872,113,15000,2018,2023
48,0,120,30900,2018,2023
0,NA,124,8000,2018,2023
18,14.514285714285714,131,20000,2018,2023
33,18.502304147465438,109,15000,2018,2023
44,24.61764705882353,133,11000,2018,2023
36,14.636678200692042,123,17000,2018,2023
29,10.04,102,14000,2018,2023
78,16.208413001912046,209,5000,2018,2023
30,15.185185185185185,113,4300,2018,2023
20,23,103,7000,2018,2023
18,8.33405172413793,154,9000,2018,2023
24,55,276,15000,2018,2023
43,3.1774193548387095,197,10000,2018,2023
12,NA,69,7000,2018,2023
16,0,41,20000,2018,2023
22,8.523809523809524,62,30000,2018,2023
24,0,44,16000,2018,2023
55,4,44,5600,2018,2023
24,8.36774193548387,41,14000,2018,2023
121,14.407894736842104,41,7000,2018,2023
0,0.4875,41,7000,2018,2023
37,36.40425531914894,51,14000,2018,2023
52,12,47,22000,2018,2023
22,5,60,20000,2018,2023
6,0,137,10000,2018,2023
25,NA,106,8000,2018,2023
12,0,96,10000,2018,2023
21,13,79,12000,2018,2023
28,9.169811320754716,84,10000,2018,2023
26,12.07857142857143,116,7000,2018,2023
52,11,62,15000,2018,2023
28,20,169,12900,2018,2023
10,16.67924528301887,81,12000,2018,2023
38,0,85,10000,2018,2023
34,13.873655913978494,121,12000,2018,2023
45,12,88,11000,2018,2023
21,1,76,6000,2018,2023
26,4.421052631578948,105,10400,2018,2023
54,0,72,3000,2018,2023
16,7,96,5000,2018,2023
23,10,64,16000,2018,2023
19,13.442553191489361,101,3600,2018,2023
55,38,86,20000,2018,2023
24,24,116,4700,2018,2023
43,43,51,15000,2018,2023
26,9,34,18000,2018,2023
24,9,34,18000,2018,2023
34,6,34,15000,2018,2023
7,4,38,20000,2018,2023
16,7,45,4000,2018,2023
16,2.670616113744076,561,2150,2018,2023
49,7,462,8400,2018,2023
20,0,518,7000,2018,2023
15,4,120,32000,2018,2023
19,21.394422310756973,120,20000,2018,2023
33,7,130,16000,2018,2023
0,4,147,12000,2018,2023
9,10.08695652173913,140,18000,2018,2023
24,18.106796116504853,175,15000,2018,2023
15,6.484567901234568,161,11000,2018,2023
12,6,130,20000,2018,2023
0,NA,227,8000,2018,2023
12,NA,180,10400,2018,2023
37,24,2049,14000,2018,2023
9,8.92469225199131,1312,25800,2018,2023
42,3.255396747166092,1809,5000,2018,2023
16,9,790,10000,2018,2023
8,6.490433971068596,1051,20000,2018,2023
14,4,1484,80000,2018,2023
26,15,808,20000,2018,2023
4,6.7163083377031985,916,26000,2018,2023
5,11,889,12000,2018,2023
0,15,1155,14000,2018,2023
6,3.8238507055075104,1034,12000,2018,2023
26,16,1546,8000,2018,2023
41,3,72,11000,2018,2023
31,7.475,126,36000,2018,2023
9,10,95,24000,2018,2023
3,4,53,8000,2018,2023
11,14.769953051643192,77,12000,2018,2023
49,132,91,30000,2018,2023
8,0,92,13000,2018,2023
10,5.379888268156424,107,8000,2018,2023
37,24,108,20000,2018,2023
1,6.44758064516129,123,6450,2018,2023
49,7.5589123867069485,278,6880,2018,2023
5,NA,134,6450,2018,2023
51,37,246,10000,2018,2023
59,0,150,10000,2018,2023
1,5.915760869565218,201,2000,2018,2023
15,7.952182952182953,145,28000,2018,2023
21,3.8133333333333335,78,14000,2018,2023
13,4.379310344827586,135,6000,2018,2023
38,16,77,6450,2018,2023
16,30,64,20000,2018,2023
17,8,65,7000,2018,2023
44,14.201970443349754,61,5000,2018,2023
14,NA,88,3600,2018,2023
23,23,59,20000,2018,2023
16,23,59,17200,2018,2023
27,12,40,18000,2018,2023
23,2,70,12000,2018,2023
7,4.967637540453074,76,18000,2018,2023
9,9,47,12000,2018,2023
33,19,50,14000,2018,2023
5,NA,71,40000,2018,2023
50,32,70,15000,2018,2023
5,16.362204724409448,59,40000,2018,2023
10,6.1875,78,9400,2018,2023
46,21.08,70,20000,2018,2023
9,1.3497604380561259,493,7000,2018,2023
3,5.04,378,9000,2018,2023
39,NA,855,35000,2018,2023
37,19.39108910891089,445,22000,2018,2023
27,4,942,1960,2018,2023
14,0,989,20000,2018,2023
46,3.5,1385,10000,2018,2023
32,30,2291,12000,2018,2023
19,1.9087719298245613,149,10000,2018,2023
17,2,137,8600,2018,2023
6,5.2014787430683915,139,16000,2018,2023
25,3.396039603960396,104,8000,2018,2023
7,4,111,8000,2018,2023
6,11.863636363636363,112,3000,2018,2023
48,18.5974025974026,144,10000,2018,2023
30,3,125,10000,2018,2023
12,3.3333333333333335,94,24000,2018,2023
5,6.935779816513762,192,5000,2018,2023
28,16,116,24000,2018,2023
3,7.420612813370473,72,60000,2018,2023
5,10,111,5000,2018,2023
23,4.707692307692308,153,6000,2018,2023
33,14.402985074626866,164,19500,2018,2023
37,0,1040,30000,2018,2023
20,0,165,15000,2018,2023
13,11,124,12000,2018,2023
12,1.9377777777777778,109,10750,2018,2023
13,0,211,12000,2018,2023
24,10,212,1200,2018,2023
75,14,167,7000,2018,2023
37,0,52,8000,2018,2023
18,3,67,16000,2018,2023
12,4.071428571428571,56,10000,2018,2023
18,3.5,62,20000,2018,2023
22,21,61,3000,2018,2023
26,1.4311926605504588,62,12000,2018,2023
22,10,56,12000,2018,2023
10,10.409090909090908,57,13000,2018,2023
27,28.476683937823836,46,10400,2018,2023
18,NA,59,12000,2018,2023
58,10.09375,68,5000,2018,2023
68,20.307692307692307,55,1000,2018,2023
4,1.3333333333333333,183,10000,2018,2023
54,11,167,13000,2018,2023
15,7,200,16000,2018,2023
24,0,173,8400,2018,2023
9,5.348336594911937,178,12000,2018,2023
0,17.165371809101,494,8600,2018,2023
32,14,443,12000,2018,2023
5,3.5,369,25800,2018,2023
14,0,435,20000,2018,2023
3,15.172291296625222,498,10000,2018,2023
23,0,59,14000,2018,2023
1,3,66,30000,2018,2023
14,NA,128,50000,2018,2023
12,16.5,69,4000,2018,2023
18,5.761421319796955,61,15000,2018,2023
36,14.219895287958115,78,4300,2018,2023
31,7.563517915309446,79,17000,2018,2023
17,30,93,12000,2018,2023
2,0.5,74,10000,2018,2023
76,0,80,5000,2018,2023
32,7,389,6000,2018,2023
36,25,324,16000,2018,2023
12,3.7035490605427976,259,11000,2018,2023
27,8.37628111273792,171,12900,2018,2023
3,1.930232558139535,200,7000,2018,2023
13,16,201,14000,2018,2023
21,7,188,8000,2018,2023
48,11,334,17000,2018,2023
7,7.02112676056338,849,7000,2018,2023
51,5.320873427091044,1166,16000,2018,2023
55,11.314935064935066,157,17300,2018,2023
12,4,189,14000,2018,2023
27,1,235,26000,2018,2023
134,6,252,14000,2018,2023
103,134.64921465968587,128,24000,2018,2023
5,2.5,119,14000,2018,2023
51,6,308,12800,2018,2023
53,1,228,9600,2018,2023
6,2.5,381,10000,2018,2023
24,4,256,14000,2018,2023
23,0.6788154897494305,149,14000,2018,2023
39,14,182,8000,2018,2023
26,7,115,10000,2018,2023
0,7,115,4000,2018,2023
14,5,133,20000,2018,2023
7,1.7685352622061483,163,20000,2018,2023
18,16,312,8000,2018,2023
36,5,209,30000,2018,2023
16,NA,101,12000,2018,2023
9,9,102,9000,2018,2023
19,5.027397260273973,98,17200,2018,2023
21,11.305755395683454,107,16000,2018,2023
27,11.402061855670103,96,12000,2018,2023
17,8,123,15000,2018,2023
35,NA,99,5000,2018,2023
28,15,172,14000,2018,2023
28,NA,120,14000,2018,2023
23,9.034220532319392,133,40000,2018,2023
13,NA,108,24000,2018,2023
23,3.2688802083333335,494,9000,2018,2023
36,NA,511,10000,2018,2023
7,2,517,5590,2018,2023
2,1.1931540342298288,158,30000,2018,2023
86,3.8251121076233185,105,8000,2018,2023
12,4.6878306878306875,124,30000,2018,2023
42,2.4512534818941503,110,20000,2018,2023
24,13,136,25000,2018,2023
47,32.79710144927536,109,18000,2018,2023
30,7.465116279069767,114,20000,2018,2023
14,54.261802575107296,118,20000,2018,2023
103,29.714285714285715,102,14000,2018,2023
31,0,165,30000,2018,2023
31,29.617100371747213,145,22000,2018,2023
23,4,416,6000,2018,2023
5,1.7816742081447965,630,10000,2018,2023
39,18,60,10000,2018,2023
48,10.270588235294118,31,13000,2018,2023
48,5.485148514851486,44,6000,2018,2023
18,11,69,20000,2018,2023
22,13.467105263157896,46,14000,2018,2023
23,NA,64,10000,2018,2023
6,NA,64,24000,2018,2023
46,16.903553299492387,57,1000,2018,2023
53,8.857142857142858,62,6000,2018,2023
21,NA,44,8000,2018,2023
4,13.063829787234043,76,4000,2018,2023
48,10,69,3000,2018,2023
15,4,60,5000,2018,2023
17,0,82,4000,2018,2023
14,1,302,10000,2018,2023
6,0,367,40850,2018,2023
43,NA,414,3000,2018,2023
27,NA,414,7600,2018,2023
35,4.360934182590234,514,13000,2018,2023
49,10,126,10000,2018,2023
12,14,124,20000,2018,2023
5,6,127,8600,2018,2023
99,NA,689,6000,2018,2023
31,3.101596516690856,298,14000,2018,2023
28,20,77,3000,2018,2023
15,4.5,91,17200,2018,2023
14,7,101,14000,2018,2023
13,2,143,16000,2018,2023
9,3,132,9000,2018,2023
24,6,95,8600,2018,2023
14,6,95,6000,2018,2023
27,NA,50,4490,2018,2023
13,NA,38,12000,2018,2023
25,21,31,6400,2018,2023
0,17,1039,1500,2018,2023
33,5.527932960893855,181,8000,2018,2023
30,14.235849056603774,144,3600,2018,2023
16,5,219,7000,2018,2023
10,9.765171503957784,145,25800,2018,2023
10,5.333333333333333,189,10000,2018,2023
15,8,165,30000,2018,2023
16,3,66,800,2018,2023
6,1,202,5600,2018,2023
16,56.5,160,8000,2018,2023
45,1,183,15000,2018,2023
104,15,142,24000,2018,2023
7,6.777580071174377,155,9460,2018,2023
41,10.866666666666667,39,14000,2018,2023
39,10,41,6400,2018,2023
31,10,49,12000,2018,2023
20,5.845360824742268,46,8000,2018,2023
21,21.382022471910112,46,30000,2018,2023
76,36.1981981981982,55,8000,2018,2023
42,16.415584415584416,38,12000,2018,2023
66,12.944444444444445,34,12000,2018,2023
36,25,39,18000,2018,2023
4,7.247191011235955,46,12000,2018,2023
1,7.136363636363637,41,12040,2018,2023
11,5.170212765957447,43,6000,2018,2023
29,13,65,11500,2018,2023
32,18.666666666666668,48,5600,2018,2023
33,15.766990291262136,196,10000,2018,2023
94,21.265210608424336,251,6600,2018,2023
23,NA,235,12000,2018,2023
55,6.331536388140162,123,22000,2018,2023
22,9.57920792079208,113,16000,2018,2023
38,34.780392156862746,170,6450,2018,2023
18,12.450901803607215,112,27000,2018,2023
40,91.43406593406593,71,10000,2018,2023
19,NA,337,19350,2018,2023
63,58.22742474916388,166,8600,2018,2023
6,0,172,32000,2018,2023
294,198,227,24000,2018,2023
196,197.01639344262296,186,35000,2018,2023
7,4.549512987012987,185,40000,2018,2023
14,NA,129,30000,2018,2023
5,14.5,37,10000,2018,2023
8,NA,29,32000,2018,2023
5,NA,29,32000,2018,2023
7,NA,29,32000,2018,2023
30,56.395348837209305,63,24000,2018,2023
0,3.08,49,18000,2018,2023
4,7.295081967213115,49,20000,2018,2023
1,NA,19,15000,2018,2023
42,NA,19,15000,2018,2023
25,7,149,24000,2018,2023
34,3.9398496240601504,51,12000,2018,2023
20,7.413793103448276,31,14000,2018,2023
86,14.816793893129772,35,8000,2018,2023
34,6.630434782608695,33,12000,2018,2023
31,20.36842105263158,38,2000,2018,2023
12,7,44,14000,2018,2023
18,14.722222222222221,34,8600,2018,2023
98,4.274074074074074,46,8000,2018,2023
8,9.946601941747574,30,12000,2018,2023
118,6.181818181818182,32,20000,2018,2023
24,16.77314814814815,50,9000,2018,2023
67,1.368421052631579,26,9800,2018,2023
39,31.65686274509804,25,2000,2018,2023
28,8.176972281449894,114,16000,2018,2023
9,9.846808510638297,182,26000,2018,2023
65,4.550827423167848,148,24000,2018,2023
30,15.861915367483297,175,3000,2018,2023
26,13,170,18000,2018,2023
16,9.966071428571428,170,9000,2018,2023
7,0,125,16000,2018,2023
6,8.591093117408906,136,16000,2018,2023
19,0.8692307692307693,126,6000,2018,2023
42,8,231,18800,2018,2023
59,52.556280587275694,999,10000,2018,2023
27,7.336182336182336,233,21500,2018,2023
9,5,350,22000,2018,2023
28,7,350,16000,2018,2023
37,15.401242236024844,372,13000,2018,2023
12,12.217672413793103,257,63000,2018,2023
9,71.76470588235294,54,10000,2018,2023
7,2.8306451612903225,39,9000,2018,2023
12,5.835820895522388,38,12000,2018,2023
2,8.306930693069306,35,14000,2018,2023
36,4.642857142857143,45,50000,2018,2023
22,8,95,30000,2018,2023
12,12,95,28000,2018,2023
9,14.592783505154639,37,26000,2018,2023
62,7.3559322033898304,20,12000,2018,2023
4,5.333333333333333,71,10000,2018,2023
5,10.5,75,10000,2018,2023
9,52,75,8000,2018,2023
8,12,75,10000,2018,2023
17,8.545454545454545,55,14000,2018,2023
32,13.328330206378986,88,9000,2018,2023
49,4.470588235294118,55,15000,2018,2023
36,9.308282208588958,132,10000,2018,2023
20,4.965116279069767,64,8000,2018,2023
31,0,104,9000,2018,2023
24,11.006622516556291,81,25000,2018,2023
14,8,96,5000,2018,2023
12,NA,88,6000,2018,2023
3,8.611764705882353,113,13600,2018,2023
24,11.36734693877551,96,9600,2018,2023
11,1,73,20000,2018,2023
12,12,74,20000,2018,2023
11,5.2719665271966525,113,6000,2018,2023
16,4.405857740585774,74,12000,2018,2023
16,1.5298013245033113,37,6000,2018,2023
27,0,29,10000,2018,2023
17,11.344827586206897,28,20000,2018,2023
10,11.42608695652174,41,11000,2018,2023
12,0.25889741800418703,531,1000,2018,2023
31,5.5,117,10000,2018,2023
16,15.306930693069306,165,3000,2018,2023
73,4.690537084398977,145,30000,2018,2023
10,6.463556851311953,184,15000,2018,2023
3,7.061538461538461,153,30000,2018,2023
21,7.7200699825043735,1979,14000,2018,2023
5,NA,940,26000,2018,2023
1,3.658257972394098,1422,28000,2018,2023
16,6.667805755395683,1769,26000,2018,2023
46,8.203152364273205,769,16000,2018,2023
5,4,932,7000,2018,2023
0,12.278509703924069,1184,40000,2018,2023
17,8.92890747516989,965,40000,2018,2023
22,12,1591,14000,2018,2023
32,3,125,16000,2018,2023
17,3.7209302325581395,125,40000,2018,2023
10,12,160,6000,2018,2023
31,2.2529644268774702,74,15000,2018,2023
30,1.0554089709762533,107,10000,2018,2023
48,19.949656750572082,319,12900,2018,2023
5,4.608333333333333,150,10000,2018,2023
0,0,150,6450,2018,2023
11,0,91,5000,2018,2023
75,NA,253,10000,2018,2023
49,17.345565749235472,294,10000,2018,2023
16,2.761764705882353,473,6000,2018,2023
5,3.4893617021276597,599,20000,2018,2023
25,13.122334455667788,127,10000,2018,2023
34,2,125,6450,2018,2023
7,5.25,96,12000,2018,2023
0,5.25,96,12000,2018,2023
38,20,91,20000,2018,2023
71,35,90,8000,2018,2023
25,11.640625,55,8600,2018,2023
0,0,71,7740,2018,2023
39,12.518987341772151,112,12000,2018,2023
21,8,94,6000,2018,2023
18,12.380392156862746,49,16000,2018,2023
6,14.848484848484848,47,12000,2018,2023
0,11,66,7740,2018,2023
3,3.6042780748663104,58,18000,2018,2023
20,9.329564725833805,504,12000,2018,2023
0,19.083644112946192,441,9000,2018,2023
14,14.792531120331951,409,7740,2018,2023
24,7.142857142857143,356,12600,2018,2023
3,7.529561347743166,658,9600,2018,2023
14,9.797455968688846,329,7740,2018,2023
47,8.062529606821412,481,12900,2018,2023
23,6.857528696826469,447,12000,2018,2023
10,7.760060744115414,730,9000,2018,2023
40,NA,1495,14000,2018,2023
35,NA,1495,24000,2018,2023
12,5.991432488005483,1139,8000,2018,2023
16,NA,1601,18000,2018,2023
16,NA,1601,12000,2018,2023
16,10.013954535223947,1601,5000,2018,2023
9,0,1626,12000,2018,2023
21,5.995901639344262,266,3000,2018,2023
39,8.5,248,30000,2018,2023
18,11.5,220,14000,2018,2023
14,5.2972699696663295,280,9000,2018,2023
8,3.6751918158567776,108,20000,2018,2023
45,16.71814671814672,220,16000,2018,2023
5,11.704697986577182,220,14000,2018,2023
49,1.0180806675938805,462,4307,2018,2023
12,11.889575971731448,503,12800,2018,2023
15,7.186544342507645,194,4000,2018,2023
